date,total_customers,la,ie,av,vc,rv,sb,oc
11/18/2021,-0.2941176471,,0,0,,,,
11/19/2021,-0.08,,0,0,,-0.5,,0
11/20/2021,-0.15,,,0,,,,
11/21/2021,-0.1,,,,,,0,
11/22/2021,-0.05555555556,0.1,0,0.1666666667,-0.375,,,-0.5
11/23/2021,-0.125,0,,-0.125,0,,-0.1666666667,0
11/24/2021,-0.1315789474,0,0,,,0,-0.1,
11/25/2021,-0.1315789474,,,-0.25,,,0,-0.1111111111
11/26/2021,-0.1538461538,,0,-0.5,,,,-0.5
11/27/2021,-0.3125,,,,,,,
11/28/2021,-0.1666666667,,,,,,,-0.5
11/29/2021,-0.1590909091,0,,0,,-0.3333333333,-0.25,
11/30/2021,-0.1071428571,-0.5,0,0.125,,,,-0.25
12/1/2021,-0.15,,0,0.125,,,-0.5,0
12/2/2021,-0.07142857143,,,0.1666666667,,0,0,0
12/3/2021,-0.1666666667,,-0.5,-0.125,,,,
12/4/2021,-0.1153846154,,,0,,,0.125,
12/5/2021,-0.08823529412,0,,,0,,,-0.25
12/6/2021,-0.07446808511,0,-0.5,0.04545454545,-0.125,,0,0.03333333333
12/7/2021,-0.1785714286,,,0,0,-0.5,,-0.25
12/8/2021,-0.1111111111,,0,0.125,,-0.5,0,
12/9/2021,-0.1538461538,-0.5,,-0.125,,,0,
12/10/2021,-0.08333333333,0,,0.375,,-0.25,,
12/11/2021,-0.25,,,,,,-0.25,-0.1666666667
12/12/2021,-0.1666666667,,,-0.5,,,,
12/13/2021,-0.03846153846,0,0.07142857143,0.1666666667,,,0,0
12/14/2021,-0.0243902439,,0.03846153846,-0.125,,,0,0
12/15/2021,-0.1621621622,0,0,0.5,,,0,-0.1875
12/16/2021,-0.109375,0,-0.5,-0.07142857143,-0.1666666667,,0,-0.1666666667
12/17/2021,-0.175,-0.25,-0.5,0,,,-0.5,0
12/18/2021,-0.25,,,,,,-0.5,0
12/19/2021,-0.2142857143,-0.5,,,0,,,-0.1
12/20/2021,-0.05882352941,0,,0,,,0,0
12/21/2021,-0.09523809524,-0.5,,0.1666666667,,0,,-0.25
12/22/2021,-0.1956521739,,0,0,,,,0
12/23/2021,-0.35,,,0,,,,
12/24/2021,-0.2083333333,,0,,,,0.5,-0.25
12/25/2021,-0.25,,,,,,,
12/26/2021,-0.1818181818,,,,,,,-0.25
12/27/2021,-0.2051282051,-0.25,-0.25,-0.25,0,,0,-0.1666666667
12/28/2021,-0.1470588235,,0,0.25,0,0,-0.3333333333,-0.15
12/29/2021,-0.1,-0.5,-0.5,0.05,0,0,0,0
12/30/2021,-0.1666666667,,,0.0625,-0.25,,0,
12/31/2021,-0.3235294118,-0.25,,,,,,-0.5
1/1/2022,-0.07692307692,,0.25,,,,,0
1/2/2022,-0.1666666667,,0,,,,0,
1/3/2022,-0.2222222222,,0,-0.25,,0.1666666667,-0.25,0
1/4/2022,-0.1111111111,0,0,,0,,0,0
1/5/2022,-0.1111111111,-0.25,0,0.5,0.5,-0.5,,0
1/6/2022,-0.1333333333,,,0.25,,,,
1/7/2022,-0.1111111111,,0,-0.125,0.1666666667,0,,0
1/8/2022,-0.25,,,,-0.5,,,
1/9/2022,-0.2083333333,,,-0.07142857143,,,,0
1/10/2022,-0.1875,-0.25,,-0.05,-0.125,,-0.1666666667,0
1/11/2022,-0.1818181818,,-0.5,0.25,,-0.5,,
1/12/2022,-0.1333333333,,,-0.2,,,,
1/13/2022,-0.2105263158,0,,-0.25,,,,
1/14/2022,0.15625,0,,0.3,,,0.25,
1/15/2022,0,,,,,,,-0.125
1/16/2022,0,,,,,,,
1/17/2022,-0.1153846154,0.25,,0,,,,-0.25
1/18/2022,-0.15,,,0,,,,-0.25
1/19/2022,-0.1428571429,,,0.25,,,,0
1/20/2022,0,0.25,,0.0625,-0.5,,,0.1666666667
1/21/2022,-0.07692307692,,-0.1666666667,0.03571428571,,,,0
1/22/2022,-0.3333333333,,,,,,,
1/23/2022,-0.0625,,0.25,,,,-0.1666666667,
1/24/2022,-0.2083333333,0,,0.5,0,,0,0
1/25/2022,-0.08064516129,-0.125,-0.2,0.3333333333,,,0,0
1/26/2022,0,,,0.1666666667,,0,,
1/27/2022,-0.1785714286,,,0,,,-0.5,
1/28/2022,-0.09090909091,0.5,-0.125,0.1666666667,,,0,-0.125
1/29/2022,-0.1363636364,,-0.125,0,0,,,-0.125
1/30/2022,-0.125,0,0,0,0,0,-0.1666666667,0
1/31/2022,-0.1607142857,0,0,0.1666666667,,0,-0.1785714286,0
2/1/2022,-0.1020408163,,,0.2,,,-0.1,-0.125
2/2/2022,-0.2162162162,-0.1666666667,-0.1666666667,-0.1666666667,0,0,-0.3333333333,-0.25
2/3/2022,-0.1896551724,-0.1666666667,-0.5,,,,-0.25,0
2/4/2022,-0.04615384615,,-0.08333333333,0,,,0.05555555556,0.125
2/5/2022,-0.1826923077,0,-0.2096774194,0,,,-0.25,-0.1
2/6/2022,-0.1296296296,,0,,,,0,-0.3571428571
2/7/2022,-0.152173913,,,,,0.2,,
2/8/2022,-0.07954545455,-0.2,0,0.1666666667,,,0,-0.075
2/9/2022,-0.1052631579,0,0,0.25,0,0,0,0
2/10/2022,-0.0612244898,0,,0.3333333333,0,0,-0.2142857143,-0.1
2/11/2022,-0.08333333333,-0.3,0.25,0,,,,
2/12/2022,-0.0652173913,,,,,0,,-0.05405405405
2/13/2022,-0.3636363636,0,,,,,,
2/14/2022,-0.1886792453,,,0.5,-0.2,-0.5,-0.25,
2/15/2022,-0.08333333333,,0,0,0,,0,0
2/16/2022,-0.243902439,,0,-0.2,,,,
2/17/2022,-0.119047619,0,-0.07692307692,-0.1304347826,0,-0.2,0,-0.1428571429
2/18/2022,-0.1136363636,,,0.1,0.5,,,0
2/19/2022,-0.25,,,0,,,,
2/20/2022,-0.02873563218,0,0,0.1388888889,0,0,0,-0.09375
2/21/2022,-0.125,,-0.1666666667,0,,,-0.5,-0.125
2/22/2022,-0.1346153846,,,0.25,0,,,-0.4
2/23/2022,-0.1935483871,0,,0.1666666667,0,,,0
2/24/2022,-0.07792207792,-0.25,,0.1666666667,-0.07692307692,,0.25,0.07692307692
2/25/2022,0,-0.1666666667,,0.5,,,0,0
2/26/2022,-0.2142857143,,,,,0,,0
2/27/2022,-0.1578947368,-0.5,,,,,-0.07142857143,-0.08823529412
2/28/2022,-0.05,0,0.05555555556,0.3333333333,0,-0.25,-0.08333333333,-0.02777777778
3/1/2022,-0.3181818182,,,-0.25,,,,
3/2/2022,-0.2115384615,0,-0.5,0,,,-0.5,0
3/3/2022,-0.06770833333,-0.1,0.03571428571,0.125,0,0,0,-0.08333333333
3/4/2022,-0.05882352941,,,0.5,,,0,
3/5/2022,-0.25,-0.5,0,,0,,-0.3333333333,0
3/6/2022,-0.3461538462,,,-0.5,0,,,
3/7/2022,-0.15625,-0.375,,0.0625,0,,,-0.5
3/8/2022,-0.15625,0,0.5,-0.1666666667,0,,,-0.5
3/9/2022,-0.2321428571,-0.25,,-0.5,0.5,-0.5,-0.2,0
3/10/2022,-0.1,-0.125,-0.125,0,0.08333333333,,,0
3/11/2022,-0.1470588235,,,0.08333333333,0,0,0,
3/12/2022,-0.3333333333,,,-0.5,,,,-0.2857142857
3/13/2022,-0.1666666667,,-0.1666666667,0,,,,0
3/14/2022,-0.2,,0,0,,,,
3/15/2022,-0.1785714286,0,,0.1,,,-0.1666666667,
3/16/2022,-0.125,0,,0.125,0,-0.25,0,
3/17/2022,-0.152173913,0,,-0.1666666667,0.5,,,
3/18/2022,-0.04761904762,,0.25,0.25,,,,0
3/19/2022,-0.2105263158,-0.25,,,,,-0.08333333333,0
3/20/2022,-0.07692307692,,,,,,,
3/21/2022,-0.1785714286,0,0,0,0,,,0
3/22/2022,-0.2142857143,,,0,-0.25,0,-0.5,-0.3333333333
3/23/2022,-0.1923076923,-0.2,0,0.2,,,,-0.0625
3/24/2022,-0.06666666667,0,0.375,0,,,,0.5
3/25/2022,-0.1111111111,,0.5,0,,,,
3/26/2022,-0.25,,,-0.25,,,,0
3/27/2022,-0.21875,,,0,,,,0
3/28/2022,-0.1216216216,-0.125,0,0,0.25,0,,0
3/29/2022,-0.1388888889,-0.1,,0.1,,0,0,0
3/30/2022,-0.1346153846,,-0.25,0,,,0,0
3/31/2022,-0.0625,0,,-0.5,0,0.125,,
4/1/2022,-0.15,,,0,,,,0
4/2/2022,-0.1111111111,,,,-0.5,,0,
4/3/2022,-0.1176470588,,0,0,0,,-0.1666666667,
4/4/2022,-0.09677419355,0,0,0,-0.25,,0,0
4/5/2022,-0.08333333333,0,-0.25,0.1,,,,0
4/6/2022,-0.1,0,,0.125,-0.5,0,0,0
4/7/2022,0.05,0.07142857143,,0.1666666667,0,,-0.5,0.2
4/8/2022,-0.09677419355,,-0.5,0.0625,-0.1666666667,,-0.5,0
4/9/2022,-0.1666666667,,0,,,-0.5,-0.25,
4/10/2022,-0.1944444444,,,,,,,-0.25
4/11/2022,-0.06153846154,0.2,0,0,0.25,0,,-0.125
4/12/2022,-0.1730769231,,0,-0.07142857143,0,0,,-0.25
4/13/2022,-0.1375,,-0.25,-0.0625,-0.5,-0.375,0.1,0
4/14/2022,-0.1111111111,,-0.1363636364,0,,,,-0.5
4/15/2022,-0.07291666667,,,0.25,,-0.0625,,-0.375
4/16/2022,-0.1666666667,0,0,0,0,0,0,-0.125
4/17/2022,-0.2,,,,,,,0
4/18/2022,-0.04285714286,0,0.25,0,0,0,,0.07142857143
4/19/2022,-0.1630434783,,-0.5,0,-0.3,0.1,0,0.25
4/20/2022,-0.0625,-0.1666666667,-0.25,0,-0.25,-0.1666666667,-0.5,0.125
4/21/2022,-0.05952380952,0,0,0,,,0,-0.1666666667
4/22/2022,-0.2083333333,,0,0.1,,,0,-0.25
4/23/2022,-0.09090909091,,,-0.1,0,,,0
4/24/2022,-0.07142857143,,,-0.3333333333,,0,,0
4/25/2022,-0.03846153846,,0,0.1666666667,0,-0.25,,
4/26/2022,-0.06451612903,-0.1,,0.1,0,0,0,-0.25
4/27/2022,-0.1590909091,,,0,,-0.5,0,-0.5
4/28/2022,0,0.3333333333,,0.125,-0.5,,0,0
4/29/2022,-0.08095238095,,,0,-0.5,0,0,0
4/30/2022,-0.25,0,,,,,-0.5,0
5/1/2022,-0.4090909091,,-0.5,,,,,
5/2/2022,-0.2045454545,,,-0.1,0,-0.08333333333,,
5/3/2022,-0.125,,0.3333333333,0.1,0,-0.5,0,-0.1
5/4/2022,-0.07142857143,,0,0.1,,0,-0.25,
5/5/2022,-0.125,,,0,0,,0,0
5/6/2022,-0.2631578947,,-0.5,-0.25,-0.5,,-0.25,0
5/7/2022,-0.0625,,,,,,0,
5/8/2022,0,,,,,,,0
5/9/2022,-0.125,,,0.25,,,-0.5,
5/10/2022,-0.08823529412,,0,0.25,,,0,
5/11/2022,-0.06666666667,0,0,0,,0,-0.0625,0
5/12/2022,-0.03571428571,,,0.1666666667,0,,0,
5/13/2022,-0.04,0,0.25,0.1666666667,0,0,0,-0.125
5/14/2022,-0.2222222222,0,,,,,-0.5,0
